src	trg	nij	score
ambrosia (band)	america (band)	4.431890950259591	0.29649780797465985
ambrosia (band)	the alan parsons project	3.377500524108914	0.16444116143541165
america (band)	christopher cross	4.236367027068226	0.28172868408794394
kenny loggins	harry chapin	7.919484638121142	0.31125541772381027
the alan parsons project	christopher cross	3.677896325758724	0.1778715085118432
the alan parsons project	the zombies	3.814323677808136	0.18390964717058267
the alan parsons project	mike and the mechanics	13.01212877569099	0.23694366519979349
christopher cross	badfinger	4.877498298875706	0.317549047853502
gin blossoms	collective soul	6.811436494757589	0.3107048243793623
the mamas & the papas	small faces	3.711852132477936	0.2975357712134815
three dog night	the four seasons (band)	5.244490496591755	0.21384475198965847
three dog night	steppenwolf (band)	5.396583755928998	0.2571888538841445
living colour	steve vai	3.956789540423225	0.3163064747839429
sepultura	trivium (band)	2.535384804793221	0.3451548231914706
sepultura	slipknot (band)	2.9799145393765905	0.34401398909362124
sepultura	drowning pool	3.2859805509404296	0.31785515104880924
loverboy	kansas (band)	4.485969020240475	0.3444808573641839
the guess who	john fogerty	6.547544935438256	0.33980357863778055
arcade fire	imagine dragons	5.380713585775715	0.34876035237986225
arcade fire	mumford & sons	4.492845370923485	0.3314118285307224
arcade fire	foals (band)	4.8247236585789	0.2972351248795493
arcade fire	vampire weekend	5.224579963757493	0.2839870680102745
the black keys	the white stripes	4.261321601293525	0.34520453483694824
sam fender	the killers	4.394246981470078	0.33639184866392624
sam fender	jeff buckley	4.057475266725573	0.3150417542216283
sam fender	kings of leon	4.435302842106445	0.33895052317523844
sam fender	the jam	4.533244876295137	0.34501625626548127
the strokes	franz ferdinand (band)	5.7189386371012025	0.3462584458080541
bring me the horizon	interpol (band)	5.580613849049622	0.33717758147082333
cream (band)	kaleo (band)	8.010651747211542	0.32337319673321285
manfred mann's earth band	manfred mann chapter three	9.528157914094844	0.3461948453041196
james blunt	sheryl crow	13.612934470566454	0.34364399929944456
chevelle (band)	highly suspect	6.090144974026104	0.3403514953026008
cage the elephant	foals (band)	5.224957610256609	0.31798561361673894
simple plan	bowling for soup	4.855133377490038	0.2861597015396332
simple plan	good charlotte	3.804932917553228	0.3151329617266734
